ord,edon,seccion,munn,dis1994,dis1997,dis2000,dis2003,dis2006,dis2009,dis2012,dis2013.1,dis2013.3
5366,6,117,3,1,1,1,1,1,1,1,1,1
5367,6,118,3,1,1,1,1,1,1,1,1,1
5368,6,119,3,1,1,1,1,1,1,1,1,1
5369,6,120,4,1,1,1,1,1,1,1,2,2
5370,6,121,4,1,1,1,1,1,1,1,2,2
5371,6,122,4,1,1,1,1,1,1,1,2,2
5372,6,123,4,1,1,1,1,1,1,1,2,2
5373,6,124,4,1,1,1,1,1,1,1,2,2
5374,6,125,4,1,1,1,1,1,1,1,2,2
5375,6,126,4,1,1,1,1,1,1,1,2,2
5376,6,127,4,1,1,1,1,1,1,1,2,2
5377,6,128,4,1,1,1,1,1,1,1,2,2
5378,6,129,4,1,1,1,1,1,1,1,2,2
5379,6,130,4,1,1,1,1,1,1,1,2,2
5380,6,131,4,1,1,1,1,1,1,1,2,2
5381,6,132,4,1,1,1,1,1,1,1,2,2
5382,6,133,4,1,1,1,1,1,1,1,2,2
5383,6,134,4,1,1,1,1,1,1,1,2,2
5384,6,135,4,1,1,1,1,1,1,1,2,2
5385,6,136,4,1,1,1,1,1,1,1,2,2
5386,6,137,4,1,1,1,1,1,1,1,2,2
5387,6,138,5,1,1,1,1,1,1,1,2,2
5388,6,139,5,1,1,1,1,1,1,1,2,2
5389,6,140,5,1,1,1,1,1,1,1,2,2
5390,6,141,5,1,1,1,1,1,1,1,2,2
5391,6,142,5,1,1,1,1,1,1,1,2,2
5392,6,143,5,1,1,1,1,1,1,1,2,2
5393,6,144,5,1,1,1,1,1,1,1,2,2
5394,6,145,5,1,1,1,1,1,1,1,2,2
5395,6,146,5,1,1,1,1,1,1,1,2,2
5396,6,147,5,1,1,1,1,1,1,1,2,2
5397,6,148,5,1,1,1,1,1,1,1,2,2
5398,6,149,5,1,1,1,1,1,1,1,2,2
5399,6,150,5,1,1,1,1,1,1,1,2,2
5400,6,151,5,1,1,1,1,1,1,1,2,2
5401,6,152,5,1,1,1,1,1,1,1,2,2
5402,6,153,5,1,1,1,1,1,1,1,2,2
5403,6,154,5,1,1,1,1,1,1,1,2,2
5404,6,155,5,1,1,1,1,1,1,1,2,2
5405,6,156,5,1,1,1,1,1,1,1,2,2
5406,6,157,5,1,1,1,1,1,1,1,2,2
5407,6,158,5,1,1,1,1,1,1,1,2,2
5408,6,159,5,1,1,1,1,1,1,1,2,2
5409,6,160,5,1,1,1,1,1,1,1,2,2
5410,6,161,5,1,1,1,1,1,1,1,2,2
5411,6,162,5,1,1,1,1,1,1,1,2,2
5412,6,163,5,1,1,1,1,1,1,[337:372],[337:372],[337:372]
5413,6,164,5,1,1,1,1,1,1,1,2,2
5414,6,165,5,1,1,1,1,1,1,1,2,2
5415,6,166,5,1,1,1,1,1,1,1,2,2
5416,6,167,5,1,1,1,1,1,1,1,2,2
5417,6,168,5,1,1,1,1,1,1,1,2,2
5418,6,169,5,1,1,1,1,1,1,1,2,2
5419,6,170,6,2,2,2,2,2,2,2,1,1
5420,6,171,6,2,2,2,2,2,2,2,1,1
5421,6,172,6,2,2,2,2,2,2,2,1,1
5422,6,173,6,2,2,2,2,2,2,2,1,1
5423,6,174,6,2,2,2,2,2,2,2,1,1
5424,6,175,6,2,2,2,2,2,2,2,1,1
5425,6,176,6,2,2,2,2,2,2,2,1,1
5426,6,177,6,2,2,2,2,2,2,2,1,1
5427,6,178,6,2,2,2,2,2,2,2,1,1
5428,6,179,6,2,2,2,2,2,2,2,1,1
5429,6,180,6,2,2,2,2,2,2,2,1,1
5430,6,181,6,2,2,2,2,2,2,2,1,1
5431,6,182,6,2,2,2,2,2,2,2,1,1
5432,6,183,6,2,2,2,2,2,2,2,1,1
5433,6,184,6,2,2,2,2,2,2,2,1,1
5434,6,185,6,2,2,2,2,2,2,2,1,1
5435,6,186,6,2,2,2,2,2,2,2,1,1
5436,6,187,6,2,2,2,2,2,2,2,1,1
5437,6,188,6,2,2,2,2,2,2,2,1,1
5438,6,189,6,2,2,2,2,2,2,2,1,1
5439,6,190,6,2,2,2,2,2,2,2,1,1
5440,6,191,7,2,2,2,2,1,1,1,2,2
5441,6,192,7,2,2,2,2,1,1,1,2,2
5442,6,193,7,2,2,2,2,1,1,1,2,2
5443,6,194,7,2,2,2,2,1,1,1,2,2
5444,6,195,7,2,2,2,2,1,1,1,2,2
